2018-02-21 12:21:15,584 INFO     DATA FORMATTER: Retrieved the pickle file tr32.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:21:30,363 INFO     Fold: 1, epoch: 0, batch: 32, Loss: 18.634310, Accuracy: 53.12500
2018-02-21 12:21:30,381 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr33.pickle 
2018-02-21 12:21:30,460 INFO     DATA FORMATTER: Retrieved the pickle file tr33.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:21:45,209 INFO     Fold: 1, epoch: 0, batch: 33, Loss: 23.644899, Accuracy: 42.18750
2018-02-21 12:21:45,230 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr34.pickle 
2018-02-21 12:21:45,315 INFO     DATA FORMATTER: Retrieved the pickle file tr34.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:22:00,047 INFO     Fold: 1, epoch: 0, batch: 34, Loss: 17.093782, Accuracy: 54.68750
2018-02-21 12:22:00,069 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr35.pickle 
2018-02-21 12:22:00,147 INFO     DATA FORMATTER: Retrieved the pickle file tr35.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:22:14,705 INFO     Fold: 1, epoch: 0, batch: 35, Loss: 18.475176, Accuracy: 42.18750
2018-02-21 12:22:14,724 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr36.pickle 
2018-02-21 12:22:14,801 INFO     DATA FORMATTER: Retrieved the pickle file tr36.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:22:29,871 INFO     Fold: 1, epoch: 0, batch: 36, Loss: 11.058559, Accuracy: 48.43750
2018-02-21 12:22:29,892 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr37.pickle 
2018-02-21 12:22:29,972 INFO     DATA FORMATTER: Retrieved the pickle file tr37.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:22:45,220 INFO     Fold: 1, epoch: 0, batch: 37, Loss: 10.287271, Accuracy: 53.12500
2018-02-21 12:22:45,239 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr38.pickle 
2018-02-21 12:22:45,326 INFO     DATA FORMATTER: Retrieved the pickle file tr38.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:23:00,385 INFO     Fold: 1, epoch: 0, batch: 38, Loss: 19.546219, Accuracy: 60.93750
2018-02-21 12:23:00,406 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr39.pickle 
2018-02-21 12:23:00,481 INFO     DATA FORMATTER: Retrieved the pickle file tr39.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:23:15,139 INFO     Fold: 1, epoch: 0, batch: 39, Loss: 14.845941, Accuracy: 48.43750
2018-02-21 12:23:15,158 INFO     CHECKPOINT SAVER: Saving model updated parameters
2018-02-21 12:23:21,720 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr40.pickle 
2018-02-21 12:23:21,807 INFO     DATA FORMATTER: Retrieved the pickle file tr40.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:23:35,952 INFO     Fold: 1, epoch: 0, batch: 40, Loss: 17.108002, Accuracy: 48.43750
2018-02-21 12:23:35,969 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr41.pickle 
2018-02-21 12:23:36,031 INFO     DATA FORMATTER: Retrieved the pickle file tr41.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:23:50,549 INFO     Fold: 1, epoch: 0, batch: 41, Loss: 8.679763, Accuracy: 59.37500
2018-02-21 12:23:50,569 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr42.pickle 
2018-02-21 12:23:50,657 INFO     DATA FORMATTER: Retrieved the pickle file tr42.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:24:05,499 INFO     Fold: 1, epoch: 0, batch: 42, Loss: 9.379410, Accuracy: 60.93750
2018-02-21 12:24:05,519 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr43.pickle 
2018-02-21 12:24:05,608 INFO     DATA FORMATTER: Retrieved the pickle file tr43.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
